Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinobacteria	3.02394728857622	2.8179167905067	5.22480456227205e-05	0.386816923183816	0.000522864557009104	0.000117558102651121	0.851761223304627	0.000672254430440277
Alphaproteobacteria	1.36130293224622	1.4742308086613	0.325547853942105	0.0795685679200538	3.11570235715126e-20	0.532714670087081	0.52920579006254	1.86942141429076e-19
Bacilli	2.99445158195529	3.64799642386341	3.30556874070395e-20	0.503184605929616	5.24027108093944e-07	1.98334124442237e-19	0.851761223304627	7.86040662140916e-07
Bacteroidia	4.74767474269304	4.72508125733057	0.46771202642779	0.0751028998702538	0.00286381353485168	0.647601267361556	0.52920579006254	0.00343657624182201
Betaproteobacteria	2.81220919194722	2.87890671626044	0.689403068709012	0.119374786217372	1.63739140465154e-33	0.828001796421242	0.52920579006254	2.94730452837277e-32
Chloroplast	0.749593111272956	0.248835232367186	3.57275166467908e-15	0.84811165141392	0.19575730296361	1.60773824910559e-14	0.912971314674809	0.19575730296361
Clostridia	4.82764330324452	4.81517043306815	0.690001497017702	0.547087928813552	0.00379277763670199	0.828001796421242	0.851761223304627	0.00426687484128974
Deinococci	0.205663623690065	1.57827130643914	1.49630020939894e-53	0.100000712807177	0.120680472075829	2.69334037691809e-52	0.52920579006254	0.127779323374407
Deltaproteobacteria	1.91215851267059	1.9343724661672	0.968821528419194	0.748826992958539	1.57493078177717e-30	0.997589012876654	0.912971314674809	1.41743770359946e-29
Epsilonproteobacteria	0.333677169836253	1.48194469110994	1.41936541526343e-32	0.453300138113191	1.03901514463258e-05	1.27742887373709e-31	0.851761223304627	1.43863635410665e-05
Erysipelotrichia	3.18929933604558	3.22229517187849	0.761985596204162	0.147001608350706	3.19905365669935e-07	0.857233795729683	0.52920579006254	5.23481507459895e-07
Flavobacteria	0.456998615845446	0.460543061291808	0.997589012876654	0.912971314674809	1.3042985469274e-08	0.997589012876654	0.912971314674809	2.6085970938548e-08
Fusobacteria	0.616523830039232	1.21165320663556	1.8238523625807e-08	0.477623764547553	2.69326102379083e-13	5.47155708774209e-08	0.851761223304627	8.0797830713725e-13
Gammaproteobacteria	1.68764577904483	2.36122846576582	6.95812172635838e-11	0.902656479512482	1.09246774242187e-11	2.50492382148902e-10	0.912971314674809	2.4580524204492e-11
Negativicutes	3.5367730520347	3.32239906215529	3.50766672102844e-05	0.854229927433507	7.76752676930812e-13	9.0197144255017e-05	0.912971314674809	1.99736402639352e-12
Sphingobacteria	0.286051532049255	0.351210648018527	0.429086759448516	0.827110598767502	2.17290833874828e-08	0.643630139172774	0.912971314674809	3.91123500974691e-08
Synergistia	0.541729130554328	0.66022778755837	0.287309594320692	0.552672327642344	1.17224470943949e-14	0.517157269777246	0.851761223304627	4.22008095398215e-14
Verrucomicrobiae	1.54928148904727	1.19861058960978	0.00424184696799858	0.567840815536418	5.81581078889631e-15	0.00848369393599716	0.851761223304627	2.61711485500334e-14
